职称,发布时间,地点,薪资,工作天数,实习时长,公司,职位
Java DeveIopment Intern（Java开发实习生）,2小时前,上海,100-150/天,4天/周,5个月,Kantar,Java
Java DeveIopment Intern（Java开发实习生）,2小时前,上海,100-150/天,4天/周,5个月,Kantar Media CIC,Java
系统研发工程师实习,3小时前,北京,250-300/天,4天/周,6个月,weibo,Java
Java开发工程师实习生,4小时前,成都,150-200/天,5天/周,8个月,极米科技,Java
JAVA实习生,5小时前,大连,50-100/天,5天/周,8个月,窝创网络,Java
Java开发工程师,5小时前,上海,100-150/天,5天/周,8个月,软评中心,Java
Java开发工程师,5小时前,上海,100-150/天,5天/周,13个月,软评中心,Java
软件开发工程师（英语或日语）,4小时前,上海,100-150/天,3天/周,4个月,艾宾信息,Java
SAP ABAP开发实习生,4小时前,上海,100-150/天,3天/周,6个月,艾宾信息,Java
Java开发,6小时前,上海,100-180/天,5天/周,13个月,DTise,Java
Java实习工程师,5小时前,上海,150-250/天,4天/周,10个月,优复数学,Java
冬令营助教（Unity3D或Java或C#）,3小时前,深圳,250-300/天,5天/周,1个月,编玩边学,教务
java实习生（开发工程师方向）,6小时前,北京,120-240/天,5天/周,13个月,神州共途,Java
Java工程师,5小时前,上海,150-250/天,4天/周,10个月,优复教育,Java
Java /C /MatLab /OpenCV 实习生,5小时前,广州,100-150/天,4天/周,6个月,英卓电子,Java
java开发实习生,6小时前,青岛,100-150/天,5天/周,4个月,北斗聚星,软件
Java开发实习,6小时前,杭州,100-150/天,5天/周,12个月,亦闲科技,Java
java开发实习生,3小时前,重庆,100-150/天,4天/周,12个月,华晟讯科技,Java
JAVA实习生（厦门）,5小时前,厦门,100-150/天,4天/周,9个月,安硕信息,Java
Java开发工程师,4小时前,北京,100-150/天,5天/周,8个月,神州泰岳软件,Java
Java开发实习生,4小时前,上海,200-250/天,5天/周,10个月,盛大汽车,Java
Java实习生,5分钟前,重庆,100-150/天,5天/周,7个月,耀凯广告传媒,Java
软件测试实习生,4小时前,上海,150-200/天,5天/周,9个月,盛大汽车,Java
java实习生,4小时前,西安,150-200/天,5天/周,4个月,博彦科技,Java
软件实习生,2小时前,北京,1-2/天,5天/周,4个月,拓普互联,Java
Java实习生,33分钟前,武汉,150-200/天,4天/周,11个月,去哪儿网,Java
项目助理,4小时前,上海,100-150/天,3天/周,9个月,金融壹账通,Java
搜索工程师实习生,4小时前,北京,200-250/天,5天/周,4个月,省钱快报,Java
助理工程师,4小时前,上海,100-150/天,4天/周,9个月,金融壹账通,Java
Java开发工程师,5小时前,南京,250-300/天,5天/周,3个月,小西科技,Java
助理软件工程师,6小时前,北京,150-200/天,3天/周,6个月,西门子,Java
Java开发工程师,5小时前,北京,200-250/天,5天/周,4个月,睿智合创,Java
大数据实习生,3小时前,西安,200-250/天,3天/周,13个月,UPLTV,Java
java实习生,5小时前,杭州,150-200/天,4天/周,4个月,网易,Java
Java工程师,5小时前,上海,150-250/天,4天/周,10个月,优复数学,Java
JAVA实习,2小时前,北京,面议,5天/周,4个月,拓普互联,Java
JAVA程序员,6小时前,佛山,100-150/天,5天/周,4个月,三竺,Java
java开发工程师,47分钟前,西安,100-150/天,4天/周,6个月,亚信,Java
Java开发实习生,5小时前,长沙,1-2/天,4天/周,12个月,金烽信息,Java
后端java实习生,47分钟前,南京,100-150/天,5天/周,6个月,亚信,Java
Java实习生,18分钟前,上海,100-150/天,3天/周,4个月,仟寻,Java
java开发工程师,47分钟前,南京,100-150/天,5天/周,8个月,亚信,Java
Java开发实习生,4小时前,上海,150-200/天,5天/周,8个月,蚁鲲信息,Java
